Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
4097,講義,こうぎ,lecture,11,0.92,3561,http://jisho.org/search/講義
4098,裏切る,うらぎる,betray,11,0.9,3234,http://jisho.org/search/裏切る
4099,余地,よち,"room, space",11,0.9,5328,http://jisho.org/search/余地
4100,富む,とむ,be rich (in); grow,11,0.94,5343,http://jisho.org/search/富む
4101,手書き,てがき,handwriting,11,0.67,N/A,http://jisho.org/search/手書き
4102,ブーム,ぶーむ,boom,11,0.84,4074,http://jisho.org/search/ブーム
4103,ワールドカップ,わーるどかっぷ,World Cup,11,0.72,N/A,http://jisho.org/search/ワールドカップ
4104,鬼,おに,"ogre, devil, demon",11,0.86,N/A,http://jisho.org/search/鬼
4105,ホール,ほーる,hall,11,0.93,N/A,http://jisho.org/search/ホール
4106,似合う,にあう,suit,11,0.76,4754,http://jisho.org/search/似合う
4107,節約,せつやく,"saving, economy",11,0.99,2909,http://jisho.org/search/節約
4108,実績,じっせき,achievement,11,0.82,2999,http://jisho.org/search/実績
4109,訳す,やくす,translate,11,0.87,1537,http://jisho.org/search/訳す
4110,奴ら,やつら,"guys, fellows",11,0.79,N/A,http://jisho.org/search/奴ら
4111,キッチン,きっちん,kitchen,11,0.82,N/A,http://jisho.org/search/キッチン
4112,課する,かする,"assign, charge, impose",11,0.8,N/A,http://jisho.org/search/課する
4113,養う,やしなう,"bring up, keep, support",11,0.98,5341,http://jisho.org/search/養う
4114,別々,べつべつ,"separate, individual",11,0.97,1174,http://jisho.org/search/別々
4115,手足,てあし,limb,11,0.9,4090,http://jisho.org/search/手足
4116,物価,ぶっか,prices,11,0.75,4394,http://jisho.org/search/物価
4117,部品,ぶひん,"parts, components",11,0.99,4314,http://jisho.org/search/部品
4118,最適,さいてき,"best, optimum",11,0.91,3128,http://jisho.org/search/最適
4119,宿題,しゅくだい,homework,11,0.87,1117,http://jisho.org/search/宿題
4120,氏名,しめい,name,11,0.54,787,http://jisho.org/search/氏名
4121,ダンス,だんす,dancing,11,0.88,1135,http://jisho.org/search/ダンス
4122,溶かす,とかす,dissolve; melt,11,0.99,5521,http://jisho.org/search/溶かす
4123,人種,じんしゅ,race,11,0.82,2643,http://jisho.org/search/人種
4124,歌手,かしゅ,singer,11,0.86,1066,http://jisho.org/search/歌手
4125,銀,ぎん,silver,11,0.96,682,http://jisho.org/search/銀
4126,ルート,るーと,route,11,0.99,N/A,http://jisho.org/search/ルート
4127,第一号,だいいちごう,first,11,0.45,N/A,http://jisho.org/search/第一号
4128,従兄弟,いとこ,cousin,11,0.8,N/A,http://jisho.org/search/従兄弟
4129,概ね,おおむね,"mostly, mainly, generally",11,0.69,N/A,http://jisho.org/search/概ね
4130,往復,おうふく,round trip,11,0.94,1493,http://jisho.org/search/往復
4131,起源,きげん,origin,11,0.92,3225,http://jisho.org/search/起源
4132,広場,ひろば,"square, plaza",11,0.8,4247,http://jisho.org/search/広場
4133,レモン,れもん,lemon,11,0.88,1265,http://jisho.org/search/レモン
4134,円滑,えんかつ,smooth,11,0.37,N/A,http://jisho.org/search/円滑
4135,広大,こうだい,"vast, huge, extensive",11,0.95,N/A,http://jisho.org/search/広大
4136,TV,てれび,television,11,0.39,N/A,http://jisho.org/search/TV
4137,カップル,かっぷる,couple,11,0.89,N/A,http://jisho.org/search/カップル
4138,納豆,なっとう,fermented soybeans,11,0.82,1811,http://jisho.org/search/納豆
4139,堂々,どうどう,"nobly, openly",11,0.95,N/A,http://jisho.org/search/堂々
4140,肝臓,かんぞう,liver,11,0.9,N/A,http://jisho.org/search/肝臓
4141,味わえる,あじわえる,"can taste, can enjoy",11,0.85,N/A,http://jisho.org/search/味わえる
4142,電源,でんげん,power supply,11,0.84,N/A,http://jisho.org/search/電源
4143,分割,ぶんかつ,division,11,0.93,N/A,http://jisho.org/search/分割
4144,縮小,しゅくしょう,reduction,11,0.72,3341,http://jisho.org/search/縮小
4145,練る,ねる,knead; polish; elaborate,11,0.93,N/A,http://jisho.org/search/練る
4146,飲み込む,のみこむ,swallow,11,0.83,4587,http://jisho.org/search/飲み込む
4147,職人,しょくにん,"craftsman, workman",11,0.86,N/A,http://jisho.org/search/職人
4148,十三年,じゅうさんねん,thirteen years,11,0.73,N/A,http://jisho.org/search/十三年
4149,キャラクター,きゃらくたー,character,11,0.87,N/A,http://jisho.org/search/キャラクター
4150,大地,だいち,"earth, ground",11,0.86,N/A,http://jisho.org/search/大地
4151,具,ぐ,ingredient,11,0.81,N/A,http://jisho.org/search/具
4152,戸惑う,とまどう,"confuse, puzzle",11,0.9,N/A,http://jisho.org/search/戸惑う
4153,寂しさ,さびしさ,loneliness,11,0.81,N/A,http://jisho.org/search/寂しさ
4154,吐く,つく,tell (a lie); sigh,11,0.95,5699,http://jisho.org/search/吐く
4155,カーテン,かーてん,curtain,11,0.88,1020,http://jisho.org/search/カーテン
4156,情けない,なさけない,miserable,11,0.89,4331,http://jisho.org/search/情けない
4157,飯,めし,rice,11,0.92,4157,http://jisho.org/search/飯
4158,幼児,ようじ,infant,11,0.78,5798,http://jisho.org/search/幼児
4159,法案,ほうあん,bill,11,0.37,N/A,http://jisho.org/search/法案
4160,病,やまい,"illness, disease",11,0.9,N/A,http://jisho.org/search/病
4161,切符,きっぷ,ticket,11,0.87,951,http://jisho.org/search/切符
4162,消滅,しょうめつ,disappearance,11,0.84,N/A,http://jisho.org/search/消滅
4163,障害者,しょうがいしゃ,"disabled person, handicapped person",11,0.8,N/A,http://jisho.org/search/障害者
4164,台,だい,"stand, rack",11,0.9,746,http://jisho.org/search/台
4165,面白さ,おもしろさ,"interest, fun",11,0.92,N/A,http://jisho.org/search/面白さ
4166,生まれ,うまれ,birth; birthplace,11,0.88,2345,http://jisho.org/search/生まれ
4167,保有,ほゆう,possession,11,0.71,N/A,http://jisho.org/search/保有
4168,反発,はんぱつ,"repulsion, resistance",11,0.94,4831,http://jisho.org/search/反発
4169,アレンジ,あれんじ,arrangement,11,0.74,N/A,http://jisho.org/search/アレンジ
4170,しつけ,しつけ,tacking (sewing); discipline,11,0.97,N/A,http://jisho.org/search/しつけ
4171,指導者,しどうしゃ,"leader, coach",11,0.92,N/A,http://jisho.org/search/指導者
4172,原理,げんり,principle,11,0.86,2876,http://jisho.org/search/原理
4173,東南アジア,とうなんあじあ,Southeast Asia,11,0.89,N/A,http://jisho.org/search/東南アジア
4174,ID,あいでぃー,"identification, ID",11,0.27,N/A,http://jisho.org/search/ID
4175,金属,きんぞく,metal,11,0.95,3270,http://jisho.org/search/金属
4176,しわ,しわ,"wrinkle, line",11,0.93,3932,http://jisho.org/search/しわ
4177,思い浮かべる,おもいうかべる,"recall, remember",11,0.88,N/A,http://jisho.org/search/思い浮かべる
4178,一分,いっぷん,one minute,11,0.89,N/A,http://jisho.org/search/一分
4179,当面,とうめん,"present, current; for the time being",11,0.7,N/A,http://jisho.org/search/当面
4180,貯金,ちょきん,"savings, deposit",11,0.86,1651,http://jisho.org/search/貯金
4181,技術的,ぎじゅつてき,"technical, practical",11,0.81,N/A,http://jisho.org/search/技術的
4182,四歳,よんさい,four years old,11,0.84,N/A,http://jisho.org/search/四歳
4183,ダンボール,だんぼーる,cardboard,11,0.83,N/A,http://jisho.org/search/ダンボール
4184,生クリーム,なまくりーむ,fresh cream,11,0.79,N/A,http://jisho.org/search/生クリーム
4185,名乗る,なのる,give one’s name,11,0.86,N/A,http://jisho.org/search/名乗る
4186,金曜日,きんようび,Friday,11,0.8,50,http://jisho.org/search/金曜日
4187,生き残る,いきのこる,survive,11,0.94,N/A,http://jisho.org/search/生き残る
4188,演技,えんぎ,performance,11,0.83,N/A,http://jisho.org/search/演技
4189,取り巻く,とりまく,"surround, enclose",11,0.8,N/A,http://jisho.org/search/取り巻く
4190,体質,たいしつ,constitution (physical),11,0.99,N/A,http://jisho.org/search/体質
4191,ドイツ語,どいつご,German (language),11,0.8,N/A,http://jisho.org/search/ドイツ語
4192,仕方が無い,しかたがない,"cannot be helped, no use",11,0,N/A,http://jisho.org/search/仕方が無い
4193,参加者,さんかしゃ,participant,11,0.69,N/A,http://jisho.org/search/参加者
4194,第三者,だいさんしゃ,"outsider, third party",11,0.9,N/A,http://jisho.org/search/第三者
4195,感性,かんせい,"sensitivity, sensibility",11,0.9,N/A,http://jisho.org/search/感性
4196,谷,たに,"valley; ravine, gorge",11,0.94,5677,http://jisho.org/search/谷
4197,本社,ほんしゃ,head office,11,0.98,4186,http://jisho.org/search/本社
4198,都度,つど,every time,11,1,N/A,http://jisho.org/search/都度
4199,ぼんやり,ぼんやり,"vacantly, vaguely, dimly",11,0.71,4602,http://jisho.org/search/ぼんやり
4200,死者,ししゃ,dead,11,0.79,2775,http://jisho.org/search/死者
4201,四季,しき,four seasons,11,0.86,736,http://jisho.org/search/四季
4202,倒産,とうさん,bankruptcy,11,0.99,5595,http://jisho.org/search/倒産
4203,ニュージーランド,にゅーじーらんど,New Zealand,11,0.87,N/A,http://jisho.org/search/ニュージーランド
4204,センター,せんたー,center,11,0.92,5535,http://jisho.org/search/センター
4205,保全,ほぜん,"preservation, maintenance",11,0.48,N/A,http://jisho.org/search/保全
4206,結合,けつごう,combination,11,0.73,1141,http://jisho.org/search/結合
4207,発送,はっそう,"send, ship, dispatch",11,0.51,N/A,http://jisho.org/search/発送
4208,パンツ,ぱんつ,"pants, trousers; shorts, underpants",11,0.63,5125,http://jisho.org/search/パンツ
4209,ぐるぐる,ぐるぐる,round and round,11,0.86,3169,http://jisho.org/search/ぐるぐる
4210,ナンバー,なんばー,number,11,0.76,4898,http://jisho.org/search/ナンバー
4211,持ち主,もちぬし,owner,11,0.86,4817,http://jisho.org/search/持ち主
4212,到底,とうてい,"(cannot) possibly, no matter how",11,0.9,5643,http://jisho.org/search/到底
4213,夕日,ゆうひ,"evening sun, sunset",11,0.89,4154,http://jisho.org/search/夕日
4214,乗り換える,のりかえる,"change, transfer",11,0.87,1368,http://jisho.org/search/乗り換える
4215,リストラ,りすとら,"restructuring, downsizing",11,0.96,N/A,http://jisho.org/search/リストラ
4216,答弁,とうべん,"answer, defense",11,0.18,N/A,http://jisho.org/search/答弁
4217,哲学,てつがく,philosophy,11,0.84,5933,http://jisho.org/search/哲学
4218,おかしな,おかしな,"funny, ridiculous",11,0.93,N/A,http://jisho.org/search/おかしな
4219,当事者,とうじしゃ,parties concerned,11,0.75,N/A,http://jisho.org/search/当事者
4220,シーズン,しーずん,season,11,0.76,2297,http://jisho.org/search/シーズン
4221,品,しな,"goods, article",11,0.84,2234,http://jisho.org/search/品
4222,高速道路,こうそくどうろ,freeway,11,0.89,2573,http://jisho.org/search/高速道路
4223,一員,いちいん,member,11,0.96,2142,http://jisho.org/search/一員
4224,確定,かくてい,"determination, decision",11,0.84,2806,http://jisho.org/search/確定
4225,委員会,いいんかい,committee,11,0.56,2985,http://jisho.org/search/委員会
4226,混ぜ合わせる,まぜあわせる,mix,11,0.87,N/A,http://jisho.org/search/混ぜ合わせる
4227,興味深い,きょうみぶかい,interesting,11,0.81,N/A,http://jisho.org/search/興味深い
4228,あれこれ,あれこれ,this and that,11,0.91,2604,http://jisho.org/search/あれこれ
4229,分布,ぶんぷ,distribution,11,0.74,N/A,http://jisho.org/search/分布
4230,観客,かんきゃく,audience,11,0.82,3148,http://jisho.org/search/観客
4231,鮎,あゆ,"sweetfish, ayu",11,0.79,N/A,http://jisho.org/search/鮎
4232,正午,しょうご,"noon, midday",11,0.14,2889,http://jisho.org/search/正午
4233,首都,しゅと,capital city,11,0.91,1317,http://jisho.org/search/首都
4234,体内,たいない,inside the body,11,0.94,N/A,http://jisho.org/search/体内
4235,調和,ちょうわ,"harmony, balance",11,0.8,4975,http://jisho.org/search/調和
4236,権威,けんい,authority,11,0.85,3631,http://jisho.org/search/権威
4237,シンガポール,しんがぽーる,Singapore,11,0.93,N/A,http://jisho.org/search/シンガポール
4238,酔う,よう,"get drunk, feel sick",11,0.87,4900,http://jisho.org/search/酔う
4239,最低限,さいていげん,minimum,11,0.95,N/A,http://jisho.org/search/最低限
4240,傷つく,きずつく,"be injured, be hurt",11,0.87,N/A,http://jisho.org/search/傷つく
4241,カボチャ,かぼちゃ,pumpkin,11,0.88,N/A,http://jisho.org/search/カボチャ
4242,老後,ろうご,old age,11,0.98,N/A,http://jisho.org/search/老後
4243,当てはまる,あてはまる,apply,11,0.98,N/A,http://jisho.org/search/当てはまる
4244,害,がい,"harm, damage",11,0.91,3058,http://jisho.org/search/害
4245,稽古,けいこ,"practice, exercise",11,0.87,3969,http://jisho.org/search/稽古
4246,一位,いちい,first prize,11,0.79,N/A,http://jisho.org/search/一位
4247,率いる,ひきいる,"head, lead, command",11,0.8,N/A,http://jisho.org/search/率いる
4248,前者,ぜんしゃ,former,11,0.82,2697,http://jisho.org/search/前者
4249,数人,すうにん,several people,11,0.94,N/A,http://jisho.org/search/数人
4250,創造,そうぞう,creation,11,0.87,N/A,http://jisho.org/search/創造
4251,届け出,とどけで,"report, notification",11,0.6,N/A,http://jisho.org/search/届け出
4252,荻窪,おぎくぼ,Ogikubo (place name),11,0.29,N/A,http://jisho.org/search/荻窪
4253,スイッチ,すいっち,switch,11,0.92,905,http://jisho.org/search/スイッチ
4254,試み,こころみ,"attempt, try",11,0.88,N/A,http://jisho.org/search/試み
4255,歩む,あゆむ,"walk, go through",11,0.93,N/A,http://jisho.org/search/歩む
4256,立ち止まる,たちどまる,"stop, pause",11,0.76,4643,http://jisho.org/search/立ち止まる
4257,いまいち,いまいち,"not quite, not really",11,0.45,N/A,http://jisho.org/search/いまいち
4258,麺,めん,noodles,11,0.72,N/A,http://jisho.org/search/麺
4259,不安定,ふあんてい,"unstable, uneasy",11,0.97,4610,http://jisho.org/search/不安定
4260,原点,げんてん,"starting point, origin",11,0.95,N/A,http://jisho.org/search/原点
4261,一向,いっこう,(not) at all; completely,11,0.91,N/A,http://jisho.org/search/一向
4262,それゆえ,それゆえ,"therefore, thus",11,0.58,N/A,http://jisho.org/search/それゆえ
4263,ジュース,じゅーす,juice,11,0.84,1115,http://jisho.org/search/ジュース
4264,軽減,けいげん,reduction,11,0.77,N/A,http://jisho.org/search/軽減
4265,不自由,ふじゆう,inconvenience; disability,11,0.94,4808,http://jisho.org/search/不自由
4266,悲鳴,ひめい,scream,11,0.72,5582,http://jisho.org/search/悲鳴
4267,落札者,らくさつしゃ,successful bidder,11,0.03,N/A,http://jisho.org/search/落札者
4268,融資,ゆうし,loan,11,0.78,N/A,http://jisho.org/search/融資
4269,破綻,はたん,"bankruptcy, collapse",11,1,N/A,http://jisho.org/search/破綻
4270,二千八年,にせんはちねん,2008 (year),11,0.29,N/A,http://jisho.org/search/二千八年
4271,アドレス,あどれす,address,11,0.58,N/A,http://jisho.org/search/アドレス
4272,励む,はげむ,"work hard, make efforts",11,0.9,N/A,http://jisho.org/search/励む
4273,双方,そうほう,"both sides, both parties",11,0.89,N/A,http://jisho.org/search/双方
4274,原爆,げんばく,atomic bomb,11,0.82,N/A,http://jisho.org/search/原爆
4275,傘,かさ,umbrella,11,0.9,1959,http://jisho.org/search/傘
4276,チャレンジ,ちゃれんじ,challenge,11,0.9,N/A,http://jisho.org/search/チャレンジ
4277,炭,すみ,charcoal,11,0.74,N/A,http://jisho.org/search/炭
4278,不意,ふい,"sudden, unexpected",11,0.49,N/A,http://jisho.org/search/不意
4279,リサイクル,りさいくる,recycling,11,0.9,N/A,http://jisho.org/search/リサイクル
4280,ミルク,みるく,milk,11,0.87,1360,http://jisho.org/search/ミルク
4281,子孫,しそん,descendant; posterity,11,0.95,3646,http://jisho.org/search/子孫
4282,近頃,ちかごろ,"recently, lately",11,0.9,5867,http://jisho.org/search/近頃
4283,鞄,かばん,bag,11,0.89,1996,http://jisho.org/search/鞄
4284,五千円,ごせんえん,five thousand yen,11,0.76,N/A,http://jisho.org/search/五千円
4285,圧力,あつりょく,"pressure, stress",11,0.95,3338,http://jisho.org/search/圧力
4286,斜め,ななめ,diagonal,11,0.95,5597,http://jisho.org/search/斜め
4287,補助,ほじょ,"help, aid, assistance",11,0.63,N/A,http://jisho.org/search/補助
4288,改良,かいりょう,improvement,11,0.91,2955,http://jisho.org/search/改良
4289,俳優,はいゆう,actor,11,0.86,5829,http://jisho.org/search/俳優
4290,フィリピン,ふぃりぴん,Philippines,11,0.93,N/A,http://jisho.org/search/フィリピン
4291,効率的,こうりつてき,efficient,11,0.59,N/A,http://jisho.org/search/効率的
4292,情熱,じょうねつ,passion,11,0.92,2260,http://jisho.org/search/情熱
4293,七人,しちにん,seven people,11,0.97,N/A,http://jisho.org/search/七人
4294,焦点,しょうてん,focus,10,0.92,3825,http://jisho.org/search/焦点
4295,旅館,りょかん,"inn, Japanese-style hotel",10,0.99,1114,http://jisho.org/search/旅館
4296,食卓,しょくたく,dining table,10,0.89,3821,http://jisho.org/search/食卓
4297,歩き回る,あるきまわる,walk about,10,0.82,N/A,http://jisho.org/search/歩き回る
4298,悲劇,ひげき,tragedy,10,0.91,5548,http://jisho.org/search/悲劇
4299,長女,ちょうじょ,eldest daughter,10,0.87,654,http://jisho.org/search/長女
4300,議会,ぎかい,"Diet, Parliament, Congress",10,0.84,2731,http://jisho.org/search/議会
4301,侵入,しんにゅう,invasion,10,0.88,N/A,http://jisho.org/search/侵入
4302,盛る,もる,"serve, heap",10,0.82,5669,http://jisho.org/search/盛る
4303,転ずる,てんずる,"switch, shift",10,0.65,N/A,http://jisho.org/search/転ずる
4304,祭る,まつる,enshrine; worship; deify,10,0.86,N/A,http://jisho.org/search/祭る
4305,笑み,えみ,smile,10,0.53,N/A,http://jisho.org/search/笑み
4306,三度,さんど,three times,10,0.93,N/A,http://jisho.org/search/三度
4307,冷える,ひえる,"chill, become cold, feel cold",10,0.93,1418,http://jisho.org/search/冷える
4308,案,あん,"plan, proposal, idea",10,0.87,2912,http://jisho.org/search/案
4309,心理,しんり,psychology,10,0.92,2270,http://jisho.org/search/心理
4310,縫う,ぬう,sew,10,0.99,5936,http://jisho.org/search/縫う
4311,おしゃべり,おしゃべり,"chat, talk",10,0.89,2571,http://jisho.org/search/おしゃべり
4312,次ぐ,つぐ,"next to, after",10,0.73,4647,http://jisho.org/search/次ぐ
4313,復帰,ふっき,"return, comeback",10,0.96,N/A,http://jisho.org/search/復帰
4314,衝突,しょうとつ,collision,10,0.93,3604,http://jisho.org/search/衝突
4315,持ち出す,もちだす,"carry out, take out",10,0.89,N/A,http://jisho.org/search/持ち出す
4316,浸かる,つかる,be flooded; soak,10,0.9,N/A,http://jisho.org/search/浸かる
4317,ドライブ,どらいぶ,drive,10,0.85,1275,http://jisho.org/search/ドライブ
4318,テキスト,てきすと,textbook,10,0.88,1060,http://jisho.org/search/テキスト
4319,変動,へんどう,"change, fluctuation, movement",10,0.71,N/A,http://jisho.org/search/変動
4320,吸い込む,すいこむ,breathe in; suck up,10,0.86,3470,http://jisho.org/search/吸い込む
4321,木々,きぎ,trees,10,0.86,N/A,http://jisho.org/search/木々
4322,ヒット,ひっと,hit,10,0.82,N/A,http://jisho.org/search/ヒット
4323,箸,はし,chopsticks,10,0.91,1992,http://jisho.org/search/箸
4324,食欲,しょくよく,appetite,10,0.85,2622,http://jisho.org/search/食欲
4325,語,ご,word; language,10,0.74,N/A,http://jisho.org/search/語
4326,通信,つうしん,"correspondence, communication",10,0.76,4809,http://jisho.org/search/通信
4327,一家,いっか,"family, house, household",10,0.89,2068,http://jisho.org/search/一家
4328,怒鳴る,どなる,shout,10,0.74,N/A,http://jisho.org/search/怒鳴る
4329,二十一年,にじゅういちねん,twenty-one years,10,0.23,N/A,http://jisho.org/search/二十一年
4330,専業主婦,せんぎょうしゅふ,"housewife, homemaker",10,0.83,N/A,http://jisho.org/search/専業主婦
4331,滝,たき,waterfall,10,0.92,N/A,http://jisho.org/search/滝
4332,ひねる,ひねる,twist,10,0.86,5100,http://jisho.org/search/ひねる
4333,身分,みぶん,"position, status",10,0.89,N/A,http://jisho.org/search/身分
4334,敷地,しきち,"site, ground",10,0.97,N/A,http://jisho.org/search/敷地
4335,冷める,さめる,"cool, get cold",10,0.89,1421,http://jisho.org/search/冷める
4336,ブルー,ぶるー,blue,10,0.78,N/A,http://jisho.org/search/ブルー
4337,先進国,せんしんこく,developed country,10,0.78,N/A,http://jisho.org/search/先進国
4338,バナナ,ばなな,banana,10,0.85,1155,http://jisho.org/search/バナナ
4339,取り扱い,とりあつかい,"treatment, handling",10,0.67,5513,http://jisho.org/search/取り扱い
4340,フィルム,ふぃるむ,film,10,0.87,755,http://jisho.org/search/フィルム
4341,日本酒,にほんしゅ,"sake, Japanese rice wine",10,0.88,4899,http://jisho.org/search/日本酒
4342,WWW,だぶりゅうだぶりゅうだぶりゅう,World Wide Web,10,0.38,N/A,http://jisho.org/search/WWW
4343,透明,とうめい,"transparent, clear",10,0.99,5397,http://jisho.org/search/透明
4344,即,そく,"at once, immediately",10,0.88,N/A,http://jisho.org/search/即
4345,克服,こくふく,conquest,10,0.97,N/A,http://jisho.org/search/克服
4346,専門学校,せんもんがっこう,"technical school, college, vocational school",10,0.69,N/A,http://jisho.org/search/専門学校
4347,六十歳,ろくじゅっさい,sixty years old,10,0.95,N/A,http://jisho.org/search/六十歳
4348,朝日,あさひ,"rising sun, morning sun",10,0.87,2119,http://jisho.org/search/朝日
4349,スタジオ,すたじお,studio,10,0.84,N/A,http://jisho.org/search/スタジオ
4350,長期,ちょうき,long term,10,0.88,4592,http://jisho.org/search/長期
4351,美人,びじん,"beautiful woman, beauty",10,0.79,1718,http://jisho.org/search/美人
4352,筆記用具,ひっきようぐ,"stationery, writing materials",10,0.49,5775,http://jisho.org/search/筆記用具
4353,石油,せきゆ,oil,10,0.84,3108,http://jisho.org/search/石油
4354,早朝,そうちょう,early morning,10,0.92,4656,http://jisho.org/search/早朝
4355,店内,てんない,inside a shop,10,0.8,N/A,http://jisho.org/search/店内
4356,賃金,ちんぎん,"salary, wage",10,0.71,N/A,http://jisho.org/search/賃金
4357,見回す,みまわす,"look around, look about",10,0.61,N/A,http://jisho.org/search/見回す
4358,日程,にってい,"schedule, itinerary",10,0.63,5392,http://jisho.org/search/日程
4359,応用,おうよう,application,10,0.93,2742,http://jisho.org/search/応用
4360,真っ暗,まっくら,black,10,0.86,1081,http://jisho.org/search/真っ暗
4361,眉,まゆ,eyebrow,10,0.62,5986,http://jisho.org/search/眉
4362,レンズ,れんず,lens,10,0.84,4457,http://jisho.org/search/レンズ
4363,五回,ごかい,five times,10,0.88,N/A,http://jisho.org/search/五回
4364,俗,ぞく,"common, popular",10,0.91,N/A,http://jisho.org/search/俗
4365,パスタ,ぱすた,pasta,10,0.8,N/A,http://jisho.org/search/パスタ
4366,差し込む,さしこむ,"insert, plug in; come in, shine in",10,0.91,N/A,http://jisho.org/search/差し込む
4367,性能,せいのう,"performance, capability",10,0.94,2360,http://jisho.org/search/性能
4368,絵画,かいが,"painting, picture",10,0.87,N/A,http://jisho.org/search/絵画
4369,刀,かたな,sword,10,0.69,3652,http://jisho.org/search/刀
4370,理念,りねん,philosophy,10,0.84,N/A,http://jisho.org/search/理念
4371,裁判官,さいばんかん,judge,10,0.79,N/A,http://jisho.org/search/裁判官
4372,戦略,せんりゃく,strategy,10,0.9,N/A,http://jisho.org/search/戦略
4373,核,かく,"nucleus, core",10,0.94,3612,http://jisho.org/search/核
4374,農民,のうみん,farmer,10,0.75,5361,http://jisho.org/search/農民
4375,コンクリート,こんくりーと,concrete,10,0.94,2148,http://jisho.org/search/コンクリート
4376,環境問題,かんきょうもんだい,environmental problem,10,0.82,N/A,http://jisho.org/search/環境問題
4377,ライター,らいたー,lighter,10,0.81,1385,http://jisho.org/search/ライター
4378,手入れ,ていれ,"repair, maintenance",10,0.98,4088,http://jisho.org/search/手入れ
4379,判定,はんてい,"decision, judgment",10,0.91,N/A,http://jisho.org/search/判定
4380,帯びる,おびる,"have a trace of, be tinged with",10,0.83,N/A,http://jisho.org/search/帯びる
4381,日曜,にちよう,Sunday,10,0.87,N/A,http://jisho.org/search/日曜
4382,昨今,さっこん,nowadays,10,0.98,N/A,http://jisho.org/search/昨今
4383,対話,たいわ,"dialogue, conversation",10,0.9,4837,http://jisho.org/search/対話
4384,帯,おび,"kimono sash, belt",10,0.89,3215,http://jisho.org/search/帯
4385,お好み焼き,おこのみやき,"okonomiyaki (Japanese-style savoury pancake with vegetables, meat, seafood etc.)",10,0.66,N/A,http://jisho.org/search/お好み焼き
4386,羊,ひつじ,sheep,10,0.9,N/A,http://jisho.org/search/羊
4387,前半,ぜんはん,first half,10,0.95,4141,http://jisho.org/search/前半
4388,ショー,しょー,show,10,0.84,N/A,http://jisho.org/search/ショー
4389,研究所,"けんきゅうじょ,けんきゅうしょ","research institute, laboratory",10,0.72,N/A,http://jisho.org/search/研究所
4390,生姜,しょうが,ginger,10,0.89,N/A,http://jisho.org/search/生姜
4391,冒頭,ぼうとう,beginning,10,0.93,N/A,http://jisho.org/search/冒頭
4392,メジャー,めじゃー,major; measure,10,0.93,N/A,http://jisho.org/search/メジャー
4393,公演,こうえん,performance,10,0.83,3523,http://jisho.org/search/公演
4394,剣道,けんどう,kendo,10,0.77,N/A,http://jisho.org/search/剣道
4395,倉庫,そうこ,"warehouse, storehouse",10,0.94,5870,http://jisho.org/search/倉庫
4396,浴衣,ゆかた,"yukata, cotton kimono",10,0.82,N/A,http://jisho.org/search/浴衣
4397,直径,ちょっけい,diameter,10,0.96,5708,http://jisho.org/search/直径
4398,残業,ざんぎょう,overtime work,10,0.81,2467,http://jisho.org/search/残業
4399,殺人,さつじん,murder,10,0.93,3076,http://jisho.org/search/殺人
4400,判明,はんめい,proving,10,0.94,N/A,http://jisho.org/search/判明
4401,統合,とうごう,integration,10,0.82,5127,http://jisho.org/search/統合
4402,水気,みずけ,moisture,10,0.83,N/A,http://jisho.org/search/水気
4403,我ら,われら,we,10,0.58,N/A,http://jisho.org/search/我ら
4404,原料,げんりょう,"raw material, ingredient",10,0.92,2875,http://jisho.org/search/原料
4405,群れ,むれ,group; herd,10,0.93,5744,http://jisho.org/search/群れ
4406,新婦,しんぷ,bride,10,0.56,N/A,http://jisho.org/search/新婦
4407,持ち物,もちもの,personal belongings,10,0.31,4428,http://jisho.org/search/持ち物
4408,転がる,ころがる,roll,10,0.83,2561,http://jisho.org/search/転がる
4409,おはよう,おはよう,good morning,10,0.65,N/A,http://jisho.org/search/おはよう
4410,二匹,にひき,two (animals),10,0.8,N/A,http://jisho.org/search/二匹
4411,天候,てんこう,weather,10,0.97,5029,http://jisho.org/search/天候
4412,危険性,きけんせい,danger,10,0.91,N/A,http://jisho.org/search/危険性
4413,創設,そうせつ,"foundation, creation",10,0.66,N/A,http://jisho.org/search/創設
4414,年末,ねんまつ,end of the year,10,0.9,4275,http://jisho.org/search/年末
4415,感,かん,"feeling, emotion",10,0.9,N/A,http://jisho.org/search/感
4416,イコール,いこーる,equal,10,0.46,N/A,http://jisho.org/search/イコール
4417,実質的,じっしつてき,substantial; essential,10,0.8,N/A,http://jisho.org/search/実質的
4418,響き,ひびき,sound; echo,10,0.96,N/A,http://jisho.org/search/響き
4419,六ヶ月,ろっかげつ,six months,10,0.93,N/A,http://jisho.org/search/六ヶ月
4420,プラン,ぷらん,plan,10,0.94,4552,http://jisho.org/search/プラン
4421,グラウンド,ぐらうんど,"ground, playground, sports field",10,0.82,2530,http://jisho.org/search/グラウンド
4422,メキシコ,めきしこ,Mexico,10,0.91,N/A,http://jisho.org/search/メキシコ
4423,バー,ばー,bar,10,0.87,N/A,http://jisho.org/search/バー
4424,カップ,かっぷ,cup,10,0.89,1630,http://jisho.org/search/カップ
4425,訴訟,そしょう,"suit, action",10,0.88,N/A,http://jisho.org/search/訴訟
