Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
157,彼,かれ,he,516,0.78,307,http://jisho.org/search/彼
158,方,かた,"person, man",505,0.69,454,http://jisho.org/search/方
159,食べる,たべる,eat,504,0.81,143,http://jisho.org/search/食べる
160,ほど,ほど,about; extent,504,0.95,N/A,http://jisho.org/search/ほど
161,しかし,しかし,"but, however",490,0.92,N/A,http://jisho.org/search/しかし
162,書く,かく,write,488,0.96,157,http://jisho.org/search/書く
163,入れる,いれる,put in; include,488,0.95,90,http://jisho.org/search/入れる
164,次,つぎ,"next, following, coming",487,0.96,258,http://jisho.org/search/次
165,結構,けっこう,quite,481,0.61,3186,http://jisho.org/search/結構
166,問題,もんだい,"problem, question",477,0.85,867,http://jisho.org/search/問題
167,例えば,たとえば,"for example, such as",470,0.89,1554,http://jisho.org/search/例えば
168,"目,眼",め,eye,467,0.89,N/A,"http://jisho.org/search/目,眼"
169,頃,ころ,"time, about, when",467,0.82,1899,http://jisho.org/search/頃
170,上,うえ,top; above; up; on,463,0.98,2025,http://jisho.org/search/上
171,てくださる,てくださる,[do something as a favor (honorific)],458,0.73,N/A,http://jisho.org/search/てくださる
172,他,ほか,"other, another; else",454,0.98,634,http://jisho.org/search/他
173,いつ,いつ,when,452,0.92,219,http://jisho.org/search/いつ
174,家,いえ,"house, home",444,0.9,506,http://jisho.org/search/家
175,付く,つく,stick; be stained with,436,0.93,1541,http://jisho.org/search/付く
176,"日, 陽",ひ,day; sun,436,0.99,N/A,"http://jisho.org/search/日, 陽"
177,出す,だす,take out; pay; send,434,0.99,94,http://jisho.org/search/出す
178,一人,ひとり,one person; alone,434,0.94,88,http://jisho.org/search/一人
179,人間,にんげん,"human being, man",434,0.88,544,http://jisho.org/search/人間
180,どこ,どこ,where,430,0.94,99,http://jisho.org/search/どこ
181,ございます　(<ござる),ございます,[very polite form of “de aru”],428,0.35,N/A,http://jisho.org/search/ございます　(<ござる)
182,時間,じかん,time,423,0.97,127,http://jisho.org/search/時間
183,ただ,ただ,just,422,0.93,4011,http://jisho.org/search/ただ
184,だから,だから,"so, therefore, because",420,0.88,N/A,http://jisho.org/search/だから
185,違う,ちがう,be different; be wrong,416,0.94,285,http://jisho.org/search/違う
186,受ける,うける,"get, receive, take",416,0.95,809,http://jisho.org/search/受ける
187,言葉,ことば,word; language,413,0.94,368,http://jisho.org/search/言葉
188,なんか,なんか,"such as, like",411,0.67,N/A,http://jisho.org/search/なんか
189,少し,すこし,"a little, a few",410,0.95,75,http://jisho.org/search/少し
190,まま,まま,as it is,410,0.96,455,http://jisho.org/search/まま
191,買う,かう,buy,409,0.81,146,http://jisho.org/search/買う
192,まだ,まだ,"yet, still",408,0.96,N/A,http://jisho.org/search/まだ
193,手,て,hand,407,0.91,103,http://jisho.org/search/手
194,話す,はなす,"talk, tell, speak",404,0.87,154,http://jisho.org/search/話す
195,好き,すき,"favorite, like, love",403,0.79,110,http://jisho.org/search/好き
196,返る,かえる,return,392,0.83,2482,http://jisho.org/search/返る
197,てもらう,てもらう,[receive a favor],389,0.95,N/A,http://jisho.org/search/てもらう
198,掛ける,かける,hang; take; cost,388,0.98,391,http://jisho.org/search/掛ける
199,終わる,おわる,"end, finish",385,0.87,267,http://jisho.org/search/終わる
200,意味,いみ,"meaning, sense",385,0.97,1213,http://jisho.org/search/意味
201,のである,のである,ASSERTION (formal),384,0.71,N/A,http://jisho.org/search/のである
202,いろんな,いろんな,various,384,0.61,N/A,http://jisho.org/search/いろんな
203,付ける,つける,put; attach; apply,381,0.96,1542,http://jisho.org/search/付ける
204,形,かたち,"form, shape, figure",380,0.91,1087,http://jisho.org/search/形
205,かなり,かなり,"considerably, rather",377,0.9,139,http://jisho.org/search/かなり
206,三,さん,three,375,0.81,5,http://jisho.org/search/三
207,最初,さいしょ,first,373,0.89,549,http://jisho.org/search/最初
