Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
127,斎藤 茂吉,Mokichi Saito,1938,万葉秀歌,http://www.aozora.gr.jp/cards/001059/files/5082_32224.html,2258,306987,53
128,ゴーゴリ ニコライ,Nikolai Gogol,1938,死せる魂,http://www.aozora.gr.jp/cards/000207/files/24382_59466.html,2257,141683,40
129,柳田 国男,Kunio Yanagita,1956,雪国の春,http://www.aozora.gr.jp/cards/001566/files/54403_54217.html,2255,114737,52
130,吉川 英治,Eiji Yoshikawa,1934,松のや露八,http://www.aozora.gr.jp/cards/001562/files/33227_61216.html,2254,175097,28
131,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4339_8287.html,2253,157872,44
132,橘 外男,Sotoo Tachibana,1947,ウニデス潮流の彼方,http://www.aozora.gr.jp/cards/001397/files/51248_62851.html,2246,110949,58
133,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4344_15487.html,2242,146233,61
134,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52433_49716.html,2236,139603,34
135,押川 春浪,Shunro Oshikawa,1900,海島冒険奇譚　海底軍艦,http://www.aozora.gr.jp/cards/000077/files/1323_36134.html,2233,740223,60
136,甲賀 三郎,Saburo Koga,1927,支倉事件,http://www.aozora.gr.jp/cards/000260/files/1430_27506.html,2231,167001,34
137,徳永 直,Sunao Tokunaga,1943,光をかかぐる人々,http://www.aozora.gr.jp/cards/001308/files/50066_38025.html,2230,107778,62
138,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4341_14293.html,2229,182253,62
139,徳冨 蘆花,Roka Tokutomi,1938,小説　不如帰,http://www.aozora.gr.jp/cards/000280/files/1706_44742.html,2228,180992,41
140,夏目 漱石,Soseki Natsume,1912,行人,http://www.aozora.gr.jp/cards/000148/files/775_14942.html,2227,281704,32
141,柳田 国男,Kunio Yanagita,1925,山の人生,http://www.aozora.gr.jp/cards/001566/files/52505_50610.html,2225,134898,55
142,林 不忘,Fubo Hayashi,1933,丹下左膳,http://www.aozora.gr.jp/cards/000290/files/24377_20635.html,2225,257829,33
143,正岡 子規,Shiki Masaoka,1927,墨汁一滴,http://www.aozora.gr.jp/cards/000305/files/1897_18672.html,2224,107650,40
144,小金井 喜美子,Kimiko Koganei,1956,鴎外の思い出,http://www.aozora.gr.jp/cards/001247/files/46831_28793.html,2219,142970,37
145,柳田 国男,Kunio Yanagita,1961,海上の道,http://www.aozora.gr.jp/cards/001566/files/54331_53583.html,2216,212155,75
146,夏目 漱石,Soseki Natsume,1909,それから,http://www.aozora.gr.jp/cards/000148/files/1746_18325.html,2212,440243,29
147,吉川 英治,Eiji Yoshikawa,1989,宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52397_49783.html,2212,160338,31
148,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42593_29599.html,2209,222246,30
149,黒岩 涙香,Ruiko Kuroiwa,1901,幽霊塔,http://www.aozora.gr.jp/cards/000179/files/943_20712.html,2208,201463,165
150,島崎 藤村,Toson Shimazaki,1936,夜明け前,http://www.aozora.gr.jp/cards/000158/files/1505_14586.html,2206,212564,42
151,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52421_49661.html,2200,128983,28
152,国枝 史郎,Shiro Kunieda,1936,剣侠,http://www.aozora.gr.jp/cards/000255/files/45339_26704.html,2198,139611,31
153,夏目 漱石,Soseki Natsume,1909,それから,http://www.aozora.gr.jp/cards/000148/files/56143_50921.html,2197,209366,29
154,ダンテ アリギエリ,Alighieri Dante,1952,神曲,http://www.aozora.gr.jp/cards/000961/files/4618_13199.html,2196,168042,28
155,夏目 漱石,Soseki Natsume,1906,草枕,http://www.aozora.gr.jp/cards/000148/files/776_14941.html,2194,143769,29
156,宮本 百合子,Yuriko Miyamoto,1979,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33189_16392.html,2191,210336,34
157,薄田 泣菫,Kyukin Susukida,1998,艸木虫魚,http://www.aozora.gr.jp/cards/000150/files/3309_8193.html,2189,98559,37
158,谷崎 潤一郎,Jun'ichiro Tanizaki,1931,武州公秘話,http://www.aozora.gr.jp/cards/001383/files/56869_60050.html,2188,125302,59
159,永井 荷風,Kafu Nagai,1972,江戸芸術論,http://www.aozora.gr.jp/cards/001341/files/49634_41512.html,2184,148744,57
160,夢野 久作,Kyusaku Yumeno,1935,近世快人伝,http://www.aozora.gr.jp/cards/000096/files/2140_23920.html,2181,90038,39
161,宮本 百合子,Yuriko Miyamoto,1979,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33187_15707.html,2180,179120,37
162,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52429_49707.html,2175,150263,31
163,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52423_49681.html,2175,142234,28
164,中島 敦,Atsushi Nakajima,1976,光と風と夢,http://www.aozora.gr.jp/cards/000119/files/1743_14532.html,2174,81375,31
165,ドストエフスキー フィヨードル・ミハイロヴィチ,Fedor Mikhailovich Dostoevskii,1968,カラマゾフの兄弟,http://www.aozora.gr.jp/cards/000363/files/42286_37300.html,2174,312959,43
166,島崎 藤村,Toson Shimazaki,1936,夜明け前,http://www.aozora.gr.jp/cards/000158/files/1506_14587.html,2170,192690,41
167,吉川 英治,Eiji Yoshikawa,1989,鳴門秘帖,http://www.aozora.gr.jp/cards/001562/files/52403_50139.html,2166,172672,33
168,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4507_14283.html,2163,161684,51
169,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52422_49671.html,2163,136751,29
170,岡本 綺堂,Kido Okamoto,1935,明治劇談　ランプの下にて,http://www.aozora.gr.jp/cards/000082/files/49526_42385.html,2160,145993,56
171,木暮 理太郎,Ritaro Kogure,1915,黒部川奥の山旅,http://www.aozora.gr.jp/cards/001373/files/55994_51330.html,2159,75958,48
172,ストレイチー リットン,Lytton Strachey,1941,エリザベスとエセックス,http://www.aozora.gr.jp/cards/001407/files/50112_42137.html,2155,116634,42
173,三遊亭 円朝,Encho San'yutei,1927,菊模様皿山奇談,http://www.aozora.gr.jp/cards/000989/files/1488_16148.html,2152,308149,56
174,井上 円了,Enryo Inoue,1916,迷信と宗教,http://www.aozora.gr.jp/cards/001021/files/49374_58731.html,2152,135422,46
175,夏目 漱石,Soseki Natsume,1910,門,http://www.aozora.gr.jp/cards/000148/files/785_14971.html,2150,194338,37
176,戸坂 潤,Jun Tosaka,1933,社会時評,http://www.aozora.gr.jp/cards/000281/files/3603_35152.html,2149,139595,60
177,ディケンズ チャールズ,Charles Dickens,1936,二都物語,http://www.aozora.gr.jp/cards/000914/files/43702_18511.html,2148,144336,41
178,林 芙美子,Fumiko Hayashi,1928,新版　放浪記,http://www.aozora.gr.jp/cards/000291/files/1813_30136.html,2147,213329,27
179,島田 清次郎,Seijiro Shimada,1919,地上,http://www.aozora.gr.jp/cards/000595/files/46166_22431.html,2146,132681,34
180,亀井 勝一郎,Katsuichiro Kamei,1953,大和古寺風物誌,http://www.aozora.gr.jp/cards/001870/files/57496_60805.html,2143,143094,39
181,国枝 史郎,Shiro Kunieda,1923,沙漠の古都,http://www.aozora.gr.jp/cards/000255/files/45269_20645.html,2140,103864,30
182,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4343_14892.html,2139,149814,60
